INFO   | jvm 1    | 2025/02/27 23:21:55 | I [Commissioning                 ] [23:21:55.766]: Commissioning State updated from commissioning to needs_commissioning 
INFO   | jvm 1    | 2025/02/27 23:21:55 | I [g.WebServerManager            ] [23:21:55.828]: Starting up 
INFO   | jvm 1    | 2025/02/27 23:21:56 | I [C.SecureRandomProvider        ] [23:21:55.974]: Secure random seed generated in 0ms 
INFO   | jvm 1    | 2025/02/27 23:21:56 | I [o.e.j.s.Server                ] [23:21:55.975]: jetty-10.0.20; built: 2024-01-29T20:46:45.278Z; git: 3a745c71c23682146f262b99f4ddc4c1bc41630c; jvm 17.0.13+11-LTS 
INFO   | jvm 1    | 2025/02/27 23:21:56 | W [o.e.j.u.DeprecationWarning    ] [23:21:56.086]: Using @Deprecated Class org.eclipse.jetty.servlet.listener.ELContextCleaner 
INFO   | jvm 1    | 2025/02/27 23:21:56 | I [o.e.j.s.s.DefaultSessionIdManager] [23:21:56.092]: Session workerName=node0 
INFO   | jvm 1    | 2025/02/27 23:21:56 | I [o.e.j.s.h.ContextHandler      ] [23:21:56.119]: Started o.e.j.w.WebAppContext@778d6e81{Commissioning,/,file:///home/boschrexroth/ctrlx-ignition-edge/bin/webserver/webapps/commissioning/,AVAILABLE} 
INFO   | jvm 1    | 2025/02/27 23:21:56 | I [o.e.j.s.AbstractConnector     ] [23:21:56.129]: Started ServerConnector@7815961a{HTTP/1.1, (http/1.1)}{0.0.0.0:8088} 
INFO   | jvm 1    | 2025/02/27 23:21:56 | I [o.e.j.s.Server                ] [23:21:56.131]: Started Server@60213e1a{STARTING}[10.0.20,sto=10000] @1825ms 
STATUS | wrapper  | 2025/02/27 23:24:40 | TERM trapped.  Shutting down.
INFO   | jvm 1    | 2025/02/27 23:24:40 | I [o.e.j.s.Server                ] [23:24:40.317]: Stopped Server@60213e1a{STOPPING}[10.0.20,sto=10000] 
INFO   | jvm 1    | 2025/02/27 23:24:40 | I [o.e.j.s.Server                ] [23:24:40.318]: Shutdown Server@60213e1a{STOPPING}[10.0.20,sto=10000] 
INFO   | jvm 1    | 2025/02/27 23:24:40 | I [o.e.j.s.AbstractConnector     ] [23:24:40.325]: Stopped ServerConnector@7815961a{HTTP/1.1, (http/1.1)}{0.0.0.0:8088} 
INFO   | jvm 1    | 2025/02/27 23:24:40 | I [o.e.j.s.h.ContextHandler      ] [23:24:40.330]: Stopped o.e.j.w.WebAppContext@778d6e81{Commissioning,/,file:///home/boschrexroth/ctrlx-ignition-edge/bin/webserver/webapps/commissioning/,STOPPED} 
STATUS | wrapper  | 2025/02/27 23:24:40 | <-- Wrapper Stopped
